1	0.0444652148837759  0.02393394422316941  -0.045992368304093804  -0.031125461331097684  -0.01668392354993304  0.5175446679039712  -0.24737248310818907  -0.1328183585575997  -0.03589134742653202  0.05458165657155237  0.16874758864499637  -0.10716548675117887  0.003277185783120294  -0.2741929577632849  0.14151677307745428  0.1181130543524694  -0.007907087995346772  -0.13000934039512166  0.2180310327433436  -0.04867901404897244  -0.0993242594925711  0.023132993399521594  -0.005447877100264877  0.013506816649061231  -0.07595345112147986  0.13846391811485545  -0.17156395000855051  0.1775117885754587  0.03215823562146042  0.06611511136426208  -0.22463464353527693  0.09163492923926107  -0.16974093436239077  -0.13152505041313375  0.026833681317127066  0.16167133446104776  -0.03240652137382837  -0.03807585040110155  -0.0018230682207144642  0.20939084728339477  0.2861924069831173  -0.12191027394300302  -0.18991432764251326  0.05247406057466532  0.10707220604020007
2	0.055523792200086755  0.023919151379536045  -0.04425553657385066  -0.03366816643384036  -0.017351245206147205  0.4923638674196542  -0.23138272666265178  -0.12066278634545094  -0.043072269467146596  0.06706394647849014  0.1864115045755912  -0.1400086136376952  0.011549988225672672  -0.17313953136287652  0.08642791737012527  0.06799332736562672  0.01706371036790302  -0.14700601425436996  0.25766903766427535  -0.058489713838063465  -0.1538505873955297  0.04605589548398387  0.013535675123794394  0.0069190150059255705  -0.09306060854772487  0.14875282756814  -0.1962367598651747  0.19986883718408618  0.0682633671723139  0.04307624657386453  -0.26039500262236265  0.07200335338155461  -0.18430454777177174  -0.1586813332915724  0.04717288344873366  0.1720315376133319  -0.03048312578653501  -0.031654977328390226  -0.009184078191699169  0.2041069617425703  0.274671212873663  -0.11945528311862809  -0.18839430405441782  0.047778342756324414  0.10442053587428894
3	0.05388173651457641  0.02520654817151684  -0.04333007246939053  -0.03774604122327221  -0.01584987501638037  0.49133510902088506  -0.22915059240544347  -0.1155014900410748  -0.04717111262274569  0.07116031685257307  0.18380514479332216  -0.12472955112487105  0.0071979977883957534  -0.16313538692533563  0.07387707392564243  0.041034192278425086  0.03884105298806624  -0.14461127715638206  0.2458765931577111  -0.05575848580995134  -0.1519962245844947  0.0488653151031121  0.024976849881579492  -0.0032002264630811685  -0.09892735918411717  0.14975251455522182  -0.20801846876913063  0.20939074772307453  0.0802565837137498  0.035565648968154145  -0.26457284035887124  0.07458156621772945  -0.1943181497317157  -0.15555317569907195  0.03814895562989219  0.1698910601173692  -0.029632823932232218  -0.03580460670534425  -0.005167601688493051  0.21118873940151486  0.27669956086677844  -0.11569452160780933  -0.19350313550335507  0.047181412488381744  0.10873988849845768
4	-0.053200341708793605  -0.02681925956981563  0.0410829859748151  0.04264379643312702  0.014569897869791985  -0.4909046538895857  0.22699182374055035  0.11177789878499379  0.05051314876454883  -0.07241250373605339  -0.17781447024452834  0.11053507046324267  -0.0033663579485669927  0.15615260764131328  -0.06369091202663921  -0.026444621667526376  -0.05080137122972993  0.14006063112893585  -0.23749523924535773  0.05377169205249649  0.15253756636401328  -0.05207095396184547  -0.03093809374266636  0.008265261620440736  0.10538037224110972  -0.15100238235843977  0.21387609280475678  -0.21514185831907814  -0.08540420440937954  -0.03250630811365723  0.26812745180675274  -0.07481646327447394  0.19977701004155562  0.1532794703467914  -0.03292336771078046  -0.1698518683631053  0.029603606057803152  0.03821701391483985  0.0032471614204631137  -0.21612803577421508  -0.2789425906296393  0.11371377079027363  0.19683811993178196  -0.04675772611886366  -0.11224948612807333
5	-0.054338245086616555  -0.027421527305571246  0.04061932554910759  0.0413316373509592  0.015207596895890168  -0.48193434959587983  0.22225005149329183  0.10688931421051759  0.05286700841411307  -0.07337945922639312  -0.18290234181014486  0.11901767605210782  -0.0060914962067566  0.1380959256978224  -0.05437543488852727  -0.010317488105666841  -0.061788222123009565  0.14456478025180125  -0.2437934971642545  0.05563963070332483  0.1585376658565504  -0.05428094716622845  -0.03724802674264532  0.012845076932565076  0.10677119869152779  -0.1517762297033775  0.2175170057967201  -0.21785776316769875  -0.0930851530171981  -0.026847941708417287  0.2720522316900795  -0.07457807288798927  0.20293881121063007  0.15568172217075235  -0.03250084662621899  -0.16945827720629178  0.0285990055970289  0.03824975460520145  0.0026628884239112663  -0.21587507662637384  -0.27835355715499294  0.11115827637148266  0.1960864195995253  -0.045500540722650626  -0.11028623925448415
6	0.0564703100249847  0.02706724873318017  -0.04121097076861212  -0.03917948028041629  -0.015853090459084927  0.47499924475907346  -0.219048618198127  -0.10482137343443507  -0.053161512373938166  0.07492453161861651  0.18850090729862345  -0.12734449608891107  0.008665139970942221  -0.12633811901265876  0.04969755031926102  0.0020889354316977822  0.06675978514498367  -0.14897201473965213  0.24975056469946158  -0.057395912956800306  -0.16198651595448488  0.05476481559820668  0.04028932591889587  -0.015049678901299874  -0.10620430790072045  0.15216927020966936  -0.2200590752877084  0.21914874051007993  0.09919156252186694  0.02252721230322686  -0.27348379393926087  0.07522697453108645  -0.20476163794239846  -0.15952067062929687  0.03395182504628103  0.16806544291253236  -0.02739094547409641  -0.03705057638954407  -0.002791708422708567  0.21419061045491417  0.2759218298786736  -0.10938474957153639  -0.1942643005219725  0.0445186285748698  0.10773418772040858
7	0.058912694065726495  0.025842364666005972  -0.042176979670373274  -0.038055975706582444  -0.01591642314495033  0.4686579928385745  -0.21596341579024228  -0.10329335901928696  -0.05294634182069977  0.07847363422519861  0.19325633438530382  -0.13373075844229246  0.00994459424287647  -0.11161825920599325  0.04283976349975425  -0.004066294162680826  0.06860214476952836  -0.15276359225446448  0.25443670146442465  -0.058471636159024176  -0.16785627286049454  0.05695908886708545  0.04256109502198196  -0.015825129460909505  -0.1057371783214446  0.15247383287677277  -0.22312999066897243  0.22095229176013925  0.10397284524391746  0.019378501843720353  -0.2762671233366379  0.0724462122103729  -0.20537725529679443  -0.1626557308039974  0.036782026221920665  0.16809925557298774  -0.02691155574778811  -0.03582015431851101  -0.003710388260651264  0.21175118871275592  0.2724406451137363  -0.10835708658764572  -0.19255785621323637  0.043593132970602626  0.10631244375717222
8	0.05939996014724552  0.02587600869175562  -0.04193519921389482  -0.03763295273884398  -0.01596232334127055  0.46271028694266797  -0.21269767869176265  -0.10092404748771398  -0.053713970001016256  0.07985018054338863  0.19597154370701977  -0.1390039146479939  0.01137453811828476  -0.0981429864402619  0.035736303799727996  -0.012361231570640294  0.07327718834309682  -0.15514127916651405  0.2585567562484963  -0.0595722888752725  -0.1734481000180912  0.05937493416016155  0.045766296812734246  -0.017628343638958592  -0.10631809975017674  0.15260801245644556  -0.22520948730954585  0.22242816900914572  0.10848633629562524  0.015844802574796486  -0.27925299341475207  0.06979154276100426  -0.20614095215145503  -0.16405279348737842  0.03769210388421262  0.1683783551657584  -0.026585707284990986  -0.0354487950383823  -0.003989460581456638  0.21022665822179773  0.2701510749712571  -0.106602337367386  -0.191263675479242  0.04256737898766356  0.10516314410480021
9	-0.05934498466396367  -0.025369834777728625  0.042624817564117796  0.03729114576443253  0.01604859303738252  -0.4671372652800744  0.21532253360561748  0.10460945190493433  0.05167365100553184  -0.07899088082165485  -0.1933558571505166  0.13592456688559532  -0.010438147295128345  0.1060906027817419  -0.040590531187239494  0.0014332898940972768  -0.06493747213266825  0.15285579711080363  -0.2564850337291486  0.05888369589112693  0.17113537471444834  -0.05819550604357171  -0.0414565542066428  0.014159357346244657  0.1058629245356  -0.15264326784701385  0.2246276111153049  -0.22171026758534915  -0.1049228865458263  -0.019212237501485086  0.27693432463953577  -0.07146404192255915  0.2049718869879519  0.16493192192270972  -0.03938879947801225  -0.16820575681223346  0.026774443833492336  0.0346097623453592  0.004794471379192149  -0.21029600734294768  -0.27010972105992165  0.1092949295371252  0.19203206827003844  -0.04373715465657936  -0.10685858861134986
10	0.058732910430946535  0.02566920821843075  -0.042338152709075816  -0.03721872484372886  -0.01611096666353779  0.4656509220537191  -0.21443688111015496  -0.10475172283863132  -0.05144399733412877  0.07865075275656462  0.19276177068689637  -0.1362036734136182  0.011040745002185822  -0.10281775807698708  0.03865300502196278  -0.002330755203542109  0.06541906952622101  -0.1522276236296828  0.25697915761224865  -0.05923986078995212  -0.17213876112563903  0.058752550988389496  0.04178017064430739  -0.014400126710270331  -0.10657715287490038  0.1526028628839806  -0.22600977661093846  0.2225089967459288  0.10621593360475133  0.01860234318815535  -0.27704182832785973  0.0726944832133841  -0.20611444799407952  -0.1655377746032572  0.03865256243877528  0.16759102616871  -0.026459724030465124  -0.03457503028368409  -0.004508065193652344  0.21096641833637889  0.2694570136905781  -0.10903983051936368  -0.19255529009559127  0.04375916347781519  0.1077788776033264
