20	0.0120975576648139  -0.06178689825578271  0.08856344583132217  -0.2691155668170667  -0.20574205136011237  0.5714019750854624  0.6877095365718204  0.008383569434960575  -0.003029558505106723  0.03168051943955902  -0.01426753029085084  0.1910176643662031  -0.1653888570886016  -0.0037025720251398775  0.008248819905406483  0.019782201915898558  -0.08215608850598018  0.011319255377626371  0.011718889064330513  -0.0013195637719415725  0.007053219545926173  -0.02793431516046748  -0.0019731460221235663  0.009821247343420101  0.019247966438238985  0.0025557257947023257  0.0006186860413431593  -0.008325010055097172
40	0.010568864012149458  -0.059477112886363155  0.08939035797246715  -0.2693699779454277  -0.2061325627318426  0.5746855033381366  0.6851765794001965  0.007859393628973945  -0.0030822205267607107  0.03227701582463305  -0.014740683717505065  0.1907168898813191  -0.16361104372245047  -0.0032487319777739997  0.008601508766067897  0.01934001011134752  -0.08294522058657217  0.011826242256060882  0.00878212570009705  -0.0007378947187897276  0.008647536017098724  -0.03022059766084905  -0.0017289694597817037  0.008279961984138712  0.01973283500408397  0.00236649024708688  0.0014054217203388908  -0.00972047957773207
60	0.009706824080422114  -0.058626887780412855  0.09156096951216018  -0.269890800224499  -0.2065485583112056  0.5786866958264109  0.6822527349113762  0.007477489010725687  -0.002590879442105008  0.03185959045654742  -0.014856284725799657  0.18936372721630373  -0.16033097088791454  -0.003184280224955384  0.009079507670216102  0.019030648155493754  -0.0835397410446581  0.011781079232750397  0.006877167624044255  -0.0004375592275929821  0.00987926167827804  -0.032099495170620926  -0.0015543098447906856  0.006814529994971858  0.021380731451921837  0.0023629971002537232  0.0016692138362417485  -0.010467048801794145
80	0.00921079583945084  -0.0571545696353702  0.09082206805554646  -0.26978268761147156  -0.20663332921358535  0.5780392875897186  0.6832155866578491  0.007111834821858055  -0.002526339245896149  0.0320738013036502  -0.015144266104710905  0.18886322815556636  -0.16004431568041708  -0.002940382118836792  0.009222641392407848  0.018858612929572468  -0.08364740247020741  0.011834569262907968  0.005486488050337993  -1.8629934926573277e-05  0.010254818941720641  -0.032691022975009094  -0.0015496904408564024  0.006819148604015365  0.021032556867982503  0.0022610753288867243  0.0019489422184395147  -0.010858092692741614
100	0.009358098056185895  -0.05793248872916906  0.09119535183835503  -0.2700807343593708  -0.2070510418220564  0.5808175564412097  0.6814801983826605  0.0071638481113431825  -0.0024070652744627103  0.03181120121527173  -0.014775176303503557  0.1864838746321345  -0.15870465444141477  -0.0029527923349285438  0.009241675093282385  0.018833808335030153  -0.08334457420459088  0.01169326394797316  0.005732549424128731  -7.045391375887743e-05  0.010234477524812427  -0.03303294772052271  -0.001552164061433256  0.006809681357803713  0.021856903847977338  0.0022672517449474168  0.0017405848420610776  -0.010747099056215154
120	0.009246551962942677  -0.05796839294357471  0.09114003298418805  -0.26984873343260546  -0.20701997967862595  0.5806116493143183  0.6815517214698307  0.007208001556671945  -0.002323444630442811  0.031510076742498366  -0.014756307686541232  0.18708506311614417  -0.15891483224579814  -0.0029346131135985273  0.009278307084905114  0.018766853329273935  -0.08339219064463473  0.011761189037002353  0.005626132533067333  -6.504492453348378e-05  0.010364532489151514  -0.03312843375837049  -0.001504278906318838  0.006447843474921273  0.02193807669236294  0.0022798203959733584  0.0018159573207965488  -0.010817522196861024
140	0.009284625223003754  -0.058274430804354065  0.09069956117698202  -0.2693481837407513  -0.2070953155576483  0.5800554145371821  0.6819748217103623  0.007290500519763505  -0.002181148838753493  0.03113464311330888  -0.01464963957866428  0.18771089466636315  -0.15902010188240204  -0.002911210420947557  0.009380262317506258  0.018592451952049678  -0.08339760117863391  0.011815272488114304  0.005447977578804985  -8.106461170640598e-05  0.010753065265248484  -0.03398668304672314  -0.0013572835571563462  0.005300934910281106  0.023325233853296778  0.0023396107503650693  0.0017552882226531915  -0.010774205339695989
160	0.008959651558214154  -0.057659445605445635  0.09058357811200608  -0.26930441209252787  -0.2073130042650928  0.5809837653832627  0.681699867831313  0.007304032135259331  -0.0023310395420644307  0.031182848801299273  -0.014479518456921766  0.18655975268043384  -0.1582107211491876  -0.0027977855198749835  0.009421413863438397  0.018352154414319904  -0.08325261531454169  0.011780038705000571  0.004867884441645585  -1.1854434216154134e-05  0.011179656033191904  -0.03454394428053246  -0.0012249921867814417  0.004291618144225301  0.023596460094553313  0.0023769098417738012  0.0019744010563199294  -0.011043905645370491
180	0.009101196936632418  -0.05795591049350024  0.09024774873632284  -0.2691910739659002  -0.20715990676160795  0.5804713205372434  0.6818139616579445  0.007343116587647547  -0.0022909743310210603  0.03116633851289214  -0.014545333120856175  0.1874935609578447  -0.1587418430214176  -0.0027983253091577683  0.009407600904229695  0.01833885891741544  -0.08335274794356534  0.011849884478685206  0.004959575497566921  -6.785996180430974e-05  0.011298279285177444  -0.03490218539482747  -0.001178557161442631  0.003930078107688899  0.024180731189698865  0.0023901314681787356  0.001989023919208336  -0.010957690435219531
200	0.009118606227087538  -0.05794562808193969  0.08976611665535361  -0.26895606571383807  -0.20755561875919976  0.5819205148689437  0.6813823320923559  0.007347563796728254  -0.00204871631597985  0.0308430852137826  -0.014317560727726806  0.1859637961889894  -0.15743526395266014  -0.0028215476641190182  0.00945524009720919  0.018307740318536332  -0.08315942919135352  0.01164303375535751  0.004969865235877217  -8.94561792491051e-05  0.011340381416480569  -0.034921977808019894  -0.0011580061172052865  0.0037798132182973302  0.024203337408895503  0.0023737460406058624  0.0020917714205426633  -0.010971783618919753
